1;7.5;0.305;0.4;18.9;0.059;44;170;1;2.99;0.46;9;5
1;7.4;0.25;0.37;13.5;0.06;52;192;0.9975;3;0.44;9.1;5
0;7.3;0.13;0.32;14.4;0.051;34;109;0.9974;3.2;0.35;9.2;6
1;7.1;0.12;0.32;9.6;0.054;64;162;0.9962;3.4;0.41;9.4;5
0;7.1;0.23;0.35;16.5;0.04;60;171;0.999;3.16;0.59;9.1;6
0;7.1;0.23;0.35;16.5;0.04;60;171;0.999;3.16;0.59;9.1;6
0;6.9;0.33;0.28;1.3;0.051;37;187;0.9927;3.27;0.6;10.3;5
1;6.5;0.17;0.54;8.5;0.082;64;163;0.9959;2.89;0.39;8.8;6
1;7.2;0.27;0.46;18.75;0.052;45;255;1;3.04;0.52;8.9;5
1;7.2;0.31;0.5;13.3;0.056;68;195;0.9982;3.01;0.47;9.2;5
0;6.7;0.41;0.34;9.2;0.049;29;150;0.9968;3.22;0.51;9.1;5
0;6.7;0.41;0.34;9.2;0.049;29;150;0.9968;3.22;0.51;9.1;5
1;5.5;0.485;0;1.5;0.065;8;103;0.994;3.63;0.4;9.7;4
